DIAGNOSIS CODE,LEN_DX_CODE,SEVEN_DX_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION
V08,3,00V0800,Asymptomatic human immunodeficiency virus [HIV] infection status,Asymp hiv infectn status
990,3,0099000,"Effects of radiation, unspecified",Effects radiation NOS
986,3,0098600,Toxic effect of carbon monoxide,Tox eff carbon monoxide
981,3,0098100,Toxic effect of petroleum products,Toxic eff petroleum prod
938,3,0093800,"Foreign body in digestive system, unspecified",Foreign body GI NOS
937,3,0093700,Foreign body in anus and rectum,Foreign body anus/rectum
936,3,0093600,Foreign body in intestine and colon,FB in intestine & colon
932,3,0093200,Foreign body in nose,Foreign body in nose
931,3,0093100,Foreign body in ear,Foreign body in ear
920,3,0092000,"Contusion of face, scalp, and neck except eye(s)",Contusion face/scalp/nck
797,3,0079700,Senility without mention of psychosis,Senility w/o psychosis
769,3,0076900,Respiratory distress syndrome in newborn,Respiratory distress syn
734,3,0073400,Flat foot,Flat foot
725,3,0072500,Polymyalgia rheumatica,Polymyalgia rheumatica
700,3,0070000,Corns and callosities,Corns and callosities
684,3,0068400,Impetigo,Impetigo
683,3,0068300,Acute lymphadenitis,Acute lymphadenitis
677,3,0067700,"Late effect of complication of pregnancy, childbirth, and the puerperium",Late effct cmplcatn preg
650,3,0065000,Normal delivery,Normal delivery
632,3,0063200,Missed abortion,Missed abortion
630,3,0063000,Hydatidiform mole,Hydatidiform mole
605,3,0060500,Redundant prepuce and phimosis,Redun prepuce & phimosis
591,3,0059100,Hydronephrosis,Hydronephrosis
587,3,0058700,"Renal sclerosis, unspecified",Renal sclerosis NOS
586,3,0058600,"Renal failure, unspecified",Renal failure NOS
570,3,0057000,Acute and subacute necrosis of liver,Acute necrosis of liver
566,3,0056600,Abscess of anal and rectal regions,Anal & rectal abscess
542,3,0054200,Other appendicitis,Other appendicitis
541,3,0054100,"Appendicitis, unqualified",Appendicitis NOS
538,3,0053800,Gastrointestinal mucositis (ulcerative),GI mucositis (ulceratve)
515,3,0051500,Postinflammatory pulmonary fibrosis,Postinflam pulm fibrosis
514,3,0051400,Pulmonary congestion and hypostasis,Pulm congest/hypostasis
505,3,0050500,"Pneumoconiosis, unspecified",Pneumoconiosis NOS
504,3,0050400,Pneumonopathy due to inhalation of other dust,Dust pneumonopathy NEC
503,3,0050300,Pneumoconiosis due to other inorganic dust,Inorg dust pneumocon NEC
502,3,0050200,Pneumoconiosis due to other silica or silicates,Silica pneumocon NEC
501,3,0050100,Asbestosis,Asbestosis
500,3,0050000,Coal workers' pneumoconiosis,Coal workers' pneumocon
496,3,0049600,"Chronic airway obstruction, not elsewhere classified",Chr airway obstruct NEC
490,3,0049000,"Bronchitis, not specified as acute or chronic",Bronchitis NOS
486,3,0048600,"Pneumonia, organism unspecified","Pneumonia, organism NOS"
485,3,0048500,"Bronchopneumonia, organism unspecified",Bronchopneumonia org NOS
481,3,0048100,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],Pneumococcal pneumonia
475,3,0047500,Peritonsillar abscess,Peritonsillar abscess
470,3,0047000,Deviated nasal septum,Deviated nasal septum
463,3,0046300,Acute tonsillitis,Acute tonsillitis
462,3,0046200,Acute pharyngitis,Acute pharyngitis
460,3,0046000,Acute nasopharyngitis [common cold],Acute nasopharyngitis
452,3,0045200,Portal vein thrombosis,Portal vein thrombosis
449,3,0044900,Septic arterial embolism,Septic arterial embolism
436,3,0043600,"Acute, but ill-defined, cerebrovascular disease",Cva
431,3,0043100,Intracerebral hemorrhage,Intracerebral hemorrhage
430,3,0043000,Subarachnoid hemorrhage,Subarachnoid hemorrhage
412,3,0041200,Old myocardial infarction,Old myocardial infarct
393,3,0039300,Chronic rheumatic pericarditis,Chr rheumatic pericard
390,3,0039000,Rheumatic fever without mention of heart involvement,Rheum fev w/o hrt involv
340,3,0034000,Multiple sclerosis,Multiple sclerosis
326,3,0032600,Late effects of intracranial abscess or pyogenic infection,Late eff cns abscess
325,3,0032500,Phlebitis and thrombophlebitis of intracranial venous sinuses,Phlebitis intrcran sinus
319,3,0031900,Unspecified intellectual disabilities,Intellect disability NOS
317,3,0031700,Mild intellectual disabilities,Mild intellect disabilty
316,3,0031600,Psychic factors associated with diseases classified elsewhere,Psychic factor w oth dis
311,3,0031100,"Depressive disorder, not elsewhere classified",Depressive disorder NEC
267,3,0026700,Ascorbic acid deficiency,Ascorbic acid deficiency
262,3,0026200,Other severe protein-calorie malnutrition,Oth severe malnutrition
261,3,0026100,Nutritional marasmus,Nutritional marasmus
260,3,0026000,Kwashiorkor,Kwashiorkor
243,3,0024300,Congenital hypothyroidism,Congenital hypothyroidsm
226,3,0022600,Benign neoplasm of thyroid glands,Benign neoplasm thyroid
220,3,0022000,Benign neoplasm of ovary,Benign neoplasm ovary
217,3,0021700,Benign neoplasm of breast,Benign neoplasm breast
193,3,0019300,Malignant neoplasm of thyroid gland,Malign neopl thyroid
185,3,0018500,Malignant neoplasm of prostate,Malign neopl prostate
181,3,0018100,Malignant neoplasm of placenta,Malignant neopl placenta
179,3,0017900,"Malignant neoplasm of uterus, part unspecified",Malig neopl uterus NOS
138,3,0013800,Late effects of acute poliomyelitis,Late effect acute polio
135,3,0013500,Sarcoidosis,Sarcoidosis
129,3,0012900,"Intestinal parasitism, unspecified",Intestin parasitism NOS
124,3,0012400,Trichinosis,Trichinosis
118,3,0011800,Opportunistic mycoses,Opportunistic mycoses
101,3,0010100,Vincent's angina,Vincent's angina
096,3,0009600,"Late syphilis, latent",Late syphilis latent
080,3,0008000,Louse-borne (epidemic) typhus,Louse-borne typhus
075,3,0007500,Infectious mononucleosis,Infectious mononucleosis
071,3,0007100,Rabies,Rabies
064,3,0006400,Viral encephalitis transmitted by other and unspecified arthropods,Vir enceph arthropod NEC
061,3,0006100,Dengue,Dengue
048,3,0004800,Other enterovirus diseases of central nervous system,Oth enteroviral cns dis
042,3,0004200,Human immunodeficiency virus [HIV] disease,Human immuno virus dis
037,3,0003700,Tetanus,Tetanus
035,3,0003500,Erysipelas,Erysipelas
025,3,0002500,Melioidosis,Melioidosis
024,3,0002400,Glanders,Glanders
V909,4,00V9090,"Retained foreign body, unspecified material","Retain FB, mat NOS"
V902,4,00V9020,Retained plastic fragments,Retain plastic fragments
V872,4,00V8720,Contact with and (suspected) exposure to other potentially hazardous chemicals,Cont/exp hazard chem NEC
V861,4,00V8610,Estrogen receptor negative status [ER-],Estrogen recep neg stat
V860,4,00V8600,Estrogen receptor positive status [ER+],Estrogen recep pstv stat
V851,4,00V8510,"Body Mass Index between 19-24, adult","BMI between 19-24,adult"
V850,4,00V8500,"Body Mass Index less than 19, adult","BMI less than 19,adult"
V829,4,00V8290,Screening for unspecified condition,Screen for condition NOS
V826,4,00V8260,Multiphasic screening,Multiphasic screening
V825,4,00V8250,Screening for chemical poisoning and other contamination,Screen-contamination NEC
V824,4,00V8240,Maternal postnatal screening for chromosomal anomalies,Mat pstntl scr-chrm anom
V823,4,00V8230,Screening for congenital dislocation of hip,Screen-cong hip dislocat
V822,4,00V8220,Screening for other rheumatic disorders,Screen-rheumat dis NEC
V821,4,00V8210,Screening for rheumatoid arthritis,Screen-rheumatoid arthr
V820,4,00V8200,Screening for skin conditions,Screen for skin cond
V816,4,00V8160,Screening for other and unspecified genitourinary conditions,Screen for gu cond NEC
V815,4,00V8150,Screening for nephropathy,Screen for nephropathy
V814,4,00V8140,Screening for other and unspecified respiratory conditions,Screen-respir cond NEC
V813,4,00V8130,Screening for chronic bronchitis and emphysema,Screen-bronch/emphysema
V812,4,00V8120,Screening for other and unspecified cardiovascular conditions,Screen-cardiovasc NEC
V811,4,00V8110,Screening for hypertension,Screen for hypertension
V810,4,00V8100,Screening for ischemic heart disease,Scrn-ischemic heart dis
V803,4,00V8030,Screening for ear diseases,Screening for ear dis
V802,4,00V8020,Screening for other eye conditions,Screening-eye cond NEC
V801,4,00V8010,Screening for glaucoma,Screening for glaucoma
V799,4,00V7990,Screening for unspecified mental disorder and developmental handicap,Screen-mental dis NOS
V798,4,00V7980,Screening for other specified mental disorders and developmental handicaps,Screen-mental dis NEC
V793,4,00V7930,Screening for developmental handicaps in early childhood,Screen-development prob
V792,4,00V7920,Special screening for intellectual disabilities,Scrn intellect disabilty
V791,4,00V7910,Screening for alcoholism,Screening for alcoholism
V790,4,00V7900,Screening for depression,Screening for depression
V789,4,00V7890,Screening for unspecified disorder of blood and blood-forming organs,Screen-blood dis NOS
V788,4,00V7880,Screening for other disorders of blood and blood-forming organs,Screen-blood dis NEC
V783,4,00V7830,Screening for other hemoglobinopathies,Scrn-hemoglobinopath NEC
V782,4,00V7820,Screening for sickle-cell disease or trait,Screen-sickle cell dis
V781,4,00V7810,Screening for other and unspecified deficiency anemia,Screen-defic anemia NEC
