DIAGNOSIS CODE,LEN_DX_CODE,FIVE_DX_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION
V08,3,V0800,Asymptomatic human immunodeficiency virus [HIV] infection status,Asymp hiv infectn status
990,3,99000,"Effects of radiation, unspecified",Effects radiation NOS
986,3,98600,Toxic effect of carbon monoxide,Tox eff carbon monoxide
981,3,98100,Toxic effect of petroleum products,Toxic eff petroleum prod
938,3,93800,"Foreign body in digestive system, unspecified",Foreign body GI NOS
937,3,93700,Foreign body in anus and rectum,Foreign body anus/rectum
936,3,93600,Foreign body in intestine and colon,FB in intestine & colon
932,3,93200,Foreign body in nose,Foreign body in nose
931,3,93100,Foreign body in ear,Foreign body in ear
920,3,92000,"Contusion of face, scalp, and neck except eye(s)",Contusion face/scalp/nck
797,3,79700,Senility without mention of psychosis,Senility w/o psychosis
769,3,76900,Respiratory distress syndrome in newborn,Respiratory distress syn
734,3,73400,Flat foot,Flat foot
725,3,72500,Polymyalgia rheumatica,Polymyalgia rheumatica
700,3,70000,Corns and callosities,Corns and callosities
684,3,68400,Impetigo,Impetigo
683,3,68300,Acute lymphadenitis,Acute lymphadenitis
677,3,67700,"Late effect of complication of pregnancy, childbirth, and the puerperium",Late effct cmplcatn preg
650,3,65000,Normal delivery,Normal delivery
632,3,63200,Missed abortion,Missed abortion
630,3,63000,Hydatidiform mole,Hydatidiform mole
605,3,60500,Redundant prepuce and phimosis,Redun prepuce & phimosis
591,3,59100,Hydronephrosis,Hydronephrosis
587,3,58700,"Renal sclerosis, unspecified",Renal sclerosis NOS
586,3,58600,"Renal failure, unspecified",Renal failure NOS
570,3,57000,Acute and subacute necrosis of liver,Acute necrosis of liver
566,3,56600,Abscess of anal and rectal regions,Anal & rectal abscess
542,3,54200,Other appendicitis,Other appendicitis
541,3,54100,"Appendicitis, unqualified",Appendicitis NOS
538,3,53800,Gastrointestinal mucositis (ulcerative),GI mucositis (ulceratve)
515,3,51500,Postinflammatory pulmonary fibrosis,Postinflam pulm fibrosis
514,3,51400,Pulmonary congestion and hypostasis,Pulm congest/hypostasis
505,3,50500,"Pneumoconiosis, unspecified",Pneumoconiosis NOS
504,3,50400,Pneumonopathy due to inhalation of other dust,Dust pneumonopathy NEC
503,3,50300,Pneumoconiosis due to other inorganic dust,Inorg dust pneumocon NEC
502,3,50200,Pneumoconiosis due to other silica or silicates,Silica pneumocon NEC
501,3,50100,Asbestosis,Asbestosis
500,3,50000,Coal workers' pneumoconiosis,Coal workers' pneumocon
496,3,49600,"Chronic airway obstruction, not elsewhere classified",Chr airway obstruct NEC
490,3,49000,"Bronchitis, not specified as acute or chronic",Bronchitis NOS
486,3,48600,"Pneumonia, organism unspecified","Pneumonia, organism NOS"
485,3,48500,"Bronchopneumonia, organism unspecified",Bronchopneumonia org NOS
481,3,48100,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],Pneumococcal pneumonia
475,3,47500,Peritonsillar abscess,Peritonsillar abscess
470,3,47000,Deviated nasal septum,Deviated nasal septum
463,3,46300,Acute tonsillitis,Acute tonsillitis
462,3,46200,Acute pharyngitis,Acute pharyngitis
460,3,46000,Acute nasopharyngitis [common cold],Acute nasopharyngitis
452,3,45200,Portal vein thrombosis,Portal vein thrombosis
449,3,44900,Septic arterial embolism,Septic arterial embolism
436,3,43600,"Acute, but ill-defined, cerebrovascular disease",Cva
431,3,43100,Intracerebral hemorrhage,Intracerebral hemorrhage
430,3,43000,Subarachnoid hemorrhage,Subarachnoid hemorrhage
412,3,41200,Old myocardial infarction,Old myocardial infarct
393,3,39300,Chronic rheumatic pericarditis,Chr rheumatic pericard
390,3,39000,Rheumatic fever without mention of heart involvement,Rheum fev w/o hrt involv
340,3,34000,Multiple sclerosis,Multiple sclerosis
326,3,32600,Late effects of intracranial abscess or pyogenic infection,Late eff cns abscess
325,3,32500,Phlebitis and thrombophlebitis of intracranial venous sinuses,Phlebitis intrcran sinus
319,3,31900,Unspecified intellectual disabilities,Intellect disability NOS
317,3,31700,Mild intellectual disabilities,Mild intellect disabilty
316,3,31600,Psychic factors associated with diseases classified elsewhere,Psychic factor w oth dis
311,3,31100,"Depressive disorder, not elsewhere classified",Depressive disorder NEC
267,3,26700,Ascorbic acid deficiency,Ascorbic acid deficiency
262,3,26200,Other severe protein-calorie malnutrition,Oth severe malnutrition
261,3,26100,Nutritional marasmus,Nutritional marasmus
260,3,26000,Kwashiorkor,Kwashiorkor
243,3,24300,Congenital hypothyroidism,Congenital hypothyroidsm
226,3,22600,Benign neoplasm of thyroid glands,Benign neoplasm thyroid
220,3,22000,Benign neoplasm of ovary,Benign neoplasm ovary
217,3,21700,Benign neoplasm of breast,Benign neoplasm breast
193,3,19300,Malignant neoplasm of thyroid gland,Malign neopl thyroid
185,3,18500,Malignant neoplasm of prostate,Malign neopl prostate
181,3,18100,Malignant neoplasm of placenta,Malignant neopl placenta
179,3,17900,"Malignant neoplasm of uterus, part unspecified",Malig neopl uterus NOS
138,3,13800,Late effects of acute poliomyelitis,Late effect acute polio
135,3,13500,Sarcoidosis,Sarcoidosis
129,3,12900,"Intestinal parasitism, unspecified",Intestin parasitism NOS
124,3,12400,Trichinosis,Trichinosis
118,3,11800,Opportunistic mycoses,Opportunistic mycoses
101,3,10100,Vincent's angina,Vincent's angina
096,3,09600,"Late syphilis, latent",Late syphilis latent
080,3,08000,Louse-borne (epidemic) typhus,Louse-borne typhus
075,3,07500,Infectious mononucleosis,Infectious mononucleosis
071,3,07100,Rabies,Rabies
064,3,06400,Viral encephalitis transmitted by other and unspecified arthropods,Vir enceph arthropod NEC
061,3,06100,Dengue,Dengue
048,3,04800,Other enterovirus diseases of central nervous system,Oth enteroviral cns dis
042,3,04200,Human immunodeficiency virus [HIV] disease,Human immuno virus dis
037,3,03700,Tetanus,Tetanus
035,3,03500,Erysipelas,Erysipelas
025,3,02500,Melioidosis,Melioidosis
024,3,02400,Glanders,Glanders
V909,4,V9090,"Retained foreign body, unspecified material","Retain FB, mat NOS"
V902,4,V9020,Retained plastic fragments,Retain plastic fragments
V872,4,V8720,Contact with and (suspected) exposure to other potentially hazardous chemicals,Cont/exp hazard chem NEC
V861,4,V8610,Estrogen receptor negative status [ER-],Estrogen recep neg stat
V860,4,V8600,Estrogen receptor positive status [ER+],Estrogen recep pstv stat
V851,4,V8510,"Body Mass Index between 19-24, adult","BMI between 19-24,adult"
V850,4,V8500,"Body Mass Index less than 19, adult","BMI less than 19,adult"
V829,4,V8290,Screening for unspecified condition,Screen for condition NOS
V826,4,V8260,Multiphasic screening,Multiphasic screening
V825,4,V8250,Screening for chemical poisoning and other contamination,Screen-contamination NEC
V824,4,V8240,Maternal postnatal screening for chromosomal anomalies,Mat pstntl scr-chrm anom
V823,4,V8230,Screening for congenital dislocation of hip,Screen-cong hip dislocat
V822,4,V8220,Screening for other rheumatic disorders,Screen-rheumat dis NEC
V821,4,V8210,Screening for rheumatoid arthritis,Screen-rheumatoid arthr
V820,4,V8200,Screening for skin conditions,Screen for skin cond
V816,4,V8160,Screening for other and unspecified genitourinary conditions,Screen for gu cond NEC
V815,4,V8150,Screening for nephropathy,Screen for nephropathy
V814,4,V8140,Screening for other and unspecified respiratory conditions,Screen-respir cond NEC
V813,4,V8130,Screening for chronic bronchitis and emphysema,Screen-bronch/emphysema
V812,4,V8120,Screening for other and unspecified cardiovascular conditions,Screen-cardiovasc NEC
V811,4,V8110,Screening for hypertension,Screen for hypertension
V810,4,V8100,Screening for ischemic heart disease,Scrn-ischemic heart dis
V803,4,V8030,Screening for ear diseases,Screening for ear dis
V802,4,V8020,Screening for other eye conditions,Screening-eye cond NEC
V801,4,V8010,Screening for glaucoma,Screening for glaucoma
V799,4,V7990,Screening for unspecified mental disorder and developmental handicap,Screen-mental dis NOS
V798,4,V7980,Screening for other specified mental disorders and developmental handicaps,Screen-mental dis NEC
V793,4,V7930,Screening for developmental handicaps in early childhood,Screen-development prob
V792,4,V7920,Special screening for intellectual disabilities,Scrn intellect disabilty
V791,4,V7910,Screening for alcoholism,Screening for alcoholism
V790,4,V7900,Screening for depression,Screening for depression
V789,4,V7890,Screening for unspecified disorder of blood and blood-forming organs,Screen-blood dis NOS
V788,4,V7880,Screening for other disorders of blood and blood-forming organs,Screen-blood dis NEC
V783,4,V7830,Screening for other hemoglobinopathies,Scrn-hemoglobinopath NEC
V782,4,V7820,Screening for sickle-cell disease or trait,Screen-sickle cell dis
V781,4,V7810,Screening for other and unspecified deficiency anemia,Screen-defic anemia NEC
V780,4,V7800,Screening for iron deficiency anemia,Screen-iron defic anemia
V778,4,V7780,Screening for obesity,Screening for obesity
V777,4,V7770,Screening for other inborn errors of metabolism,Screen-inborn err metab
V776,4,V7760,Screening for cystic fibrosis,Screen-cystic fibrosis
V775,4,V7750,Screening for gout,Screening for gout
V774,4,V7740,Screening for galactosemia,Screen for galactosemia
V773,4,V7730,Screening for phenylketonuria (PKU),Screen-phenylketonuria
V772,4,V7720,Screening for malnutrition,Screen for malnutrition
V771,4,V7710,Screening for diabetes mellitus,Screen-diabetes mellitus
V770,4,V7700,Screening for thyroid disorders,Screen-thyroid disorder
V769,4,V7690,Special screening for unspecified malignant neoplasms,Screen-neoplasm NOS
V763,4,V7630,Screening for malignant neoplasms of bladder,Screen mal neop-bladder
V762,4,V7620,Screening for malignant neoplasms of cervix,Screen mal neop-cervix
V760,4,V7600,Special screening for malignant neoplasms of respiratory organs,Screen mal neop-resp org
V759,4,V7590,Screening examination for unspecified infectious disease,Screen for infec dis NOS
V758,4,V7580,Screening examination for other specified parasitic infections,Screen-parasitic dis NEC
V757,4,V7570,Screening examination for intestinal helminthiasis,Screen for helminthiasis
V756,4,V7560,Screening examination for filariasis,Screen for filariasis
V755,4,V7550,Screening examination for schistosomiasis,Screen-schistosomiasis
V754,4,V7540,Screening examination for mycotic infections,Screen-mycotic infect
V753,4,V7530,Screening examination for trypanosomiasis,Screen-trypanosomiasis
V752,4,V7520,Screening examination for leishmaniasis,Screen for leishmaniasis
V751,4,V7510,Screening examination for malaria,Screening for malaria
V750,4,V7500,Screening examination for rickettsial diseases,Screen-rickettsial dis
V749,4,V7490,Screening examination for unspecified bacterial and spirochetal diseases,Screen-bacterial dis NOS
V748,4,V7480,Screening examination for other specified bacterial and spirochetal diseases,Screen-bacterial dis NEC
V746,4,V7460,Screening examination for yaws,Screening for yaws
V745,4,V7450,Screening examination for venereal disease,Screen for veneral dis
V744,4,V7440,Screening examination for bacterial conjunctivitis,Screen-bact conjunctivit
V743,4,V7430,Screening examination for diphtheria,Screening for diphtheria
V742,4,V7420,Screening examination for leprosy (Hansen's disease),Screening for leprosy
V741,4,V7410,Screening examination for pulmonary tuberculosis,Screening-pulmonary TB
V740,4,V7400,Screening examination for cholera,Screening for cholera
V736,4,V7360,Screening examination for trachoma,Screening for trachoma
V735,4,V7350,Screening examination for other arthropod-borne viral diseases,Screening-arbovirus dis
V734,4,V7340,Screening examination for yellow fever,Screening-yellow fever
V733,4,V7330,Screening examination for rubella,Screening for rubella
V732,4,V7320,Screening examination for measles,Screening for measles
V731,4,V7310,Screening examination for smallpox,Screening for smallpox
V730,4,V7300,Screening examination for poliomyelitis,Screening-poliomyelitis
V729,4,V7290,Unspecified examination,Examination NOS
V727,4,V7270,Diagnostic skin and sensitization tests,Skin/sensitization tests
V725,4,V7250,"Radiological examination, not elsewhere classified",Radiological exam NEC
V722,4,V7220,Dental examination,Dental examination
V720,4,V7200,Examination of eyes and vision,Eye & vision examination
V719,4,V7190,Observation for unspecified suspected condition,Observ-suspect cond NOS
V717,4,V7170,Observation for suspected cardiovascular disease,Obs-susp cardiovasc dis
V716,4,V7160,Observation following other inflicted injury,Observ-inflicted inj NEC
V715,4,V7150,Observation following alleged rape or seduction,Observ following rape
V714,4,V7140,Observation following other accident,Observ-accident NEC
V713,4,V7130,Observation following accident at work,Observ-work accident
V712,4,V7120,Observation for suspected tuberculosis,Observ-suspect TB
V711,4,V7110,Observation for suspected malignant neoplasm,Obsv-suspct mal neoplasm
V709,4,V7090,Unspecified general medical examination,General medical exam NOS
V708,4,V7080,Other specified general medical examinations,General medical exam NEC
V707,4,V7070,Examination of participant in clinical trial,Exam-clincal trial
V706,4,V7060,Health examination in population surveys,Health exam-pop survey
V705,4,V7050,Health examination of defined subpopulations,Health exam-group survey
V704,4,V7040,Examination for medicolegal reasons,Exam-medicolegal reasons
V703,4,V7030,Other general medical examination for administrative purposes,Med exam NEC-admin purp
V702,4,V7020,"General psychiatric examination, other and unspecified",Gen psychiatric exam NEC
V701,4,V7010,"General psychiatric examination, requested by the authority",Psych exam-authority req
V700,4,V7000,Routine general medical examination at a health care facility,Routine medical exam
V699,4,V6990,Unspecified problem related to lifestyle,Prblm rltd lfstyle NOS
V698,4,V6980,Other problems related to lifestyle,Oth prblms rltd lfstyle
V695,4,V6950,Behavioral insomnia of childhood,Behav insomnia-childhood
V694,4,V6940,Lack of adequate sleep,Lack of adequate sleep
V693,4,V6930,Gambling and betting,Gambling and betting
V692,4,V6920,High-risk sexual behavior,High-risk sexual behavr
V691,4,V6910,Inappropriate diet and eating habits,Inapprt diet eat habits
V690,4,V6900,Lack of physical exercise,Lack of physical exercse
V689,4,V6890,Encounters for unspecified administrative purpose,Administrtve encount NOS
V682,4,V6820,Request for expert evidence,Request expert evidence
V681,4,V6810,Issue of repeat prescriptions,Issue repeat prescript
V679,4,V6790,Unspecified follow-up examination,Follow-up exam NOS
V676,4,V6760,"Follow-up examination, following combined treatment",Comb treatment follow-up
V674,4,V6740,"Follow-up examination, following treatment of healed fracture",FU exam treatd healed fx
V673,4,V6730,"Follow-up examination, following psychotherapy and other treatment for mental disorder",Psychiatric follow-up
V672,4,V6720,"Follow-up examination, following chemotherapy",Chemotherapy follow-up
V671,4,V6710,"Follow-up examination, following radiotherapy",Radiotherapy follow-up
V669,4,V6690,Unspecified convalescence,Convalescence NOS
V667,4,V6670,Encounter for palliative care,Encountr palliative care
V666,4,V6660,Convalescence following combined treatment,Comb treatment convales
V665,4,V6650,Convalescence following other treatment,Convalescence NEC
